MU_MAX,DEPLETION_RADIUS,HYPHA_RADIUS_UM,PSI_BRANCH,MIN_BRANCH_ANGLE_DEG,APICAL_BRANCH_MIN_STEP,LATERAL_DISTANCE_FROM_TIP,PHI_N,PHI_P,LATERAL_BRANCH_MIN_STEP,MAX_DEVIATION_DEG,nutrient_pm_fraction,total_tips,n_apical_events,n_lateral_events,avg_length_um,avg_volume_um3
9.58,5.0,1.4,0.995,50.0,3,4.83,0.15,0.15,7,70.0,0.05,12.0,8.0,0.0,89.90706773787993,553.604711681802
8.528282575114497,7.689545376990834,0.3507759844718487,1.0830100692674964,24.161250238206957,3,7.785990433018145,0.2052739760867978,0.1019029003449212,10,82.72306396411322,0.11,51.2,47.6,0.0,249.0742186105239,96.28050368122584
14.493861750699654,3.9636379317426895,1.3126361615716204,1.8684312115050885,1.271148803862299,0,7.482605883312899,0.254164149680855,0.1494694334642846,6,136.16114598268902,0.01,259.0,175.8,79.2,1568.832647545822,8492.102352301163
12.5473207411845,1.517982328820544,2.16813772856829,0.6044019985034749,55.04435106045909,2,3.612684753635505,0.1934525751381304,0.2450569086891458,12,107.53323366040854,0.03,4.0,0.0,0.0,87.7757657422123,1296.2782471995265
10.223930244973,4.526630716121247,1.9242069851822288,0.3383783492671552,75.46664154791345,3,6.310148733885066,0.2489767034070853,0.2815537454957426,12,45.86265606156403,0.11,3.8,0.0,0.0,69.0050530698941,802.665026923104
9.58,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,12.0,8.0,0.0,92.2296757772806,567.9062208551513
10.206513087034018,0.7954112540148084,1.3250078419298403,1.7492000666891676,67.27156216495608,3,4.034152906677972,0.2992244074503269,0.1151817021488901,4,28.30036751013004,0.09,3.8,0.0,0.0,0.0,0.0
10.865212873783952,4.794469260163171,0.5579012739962259,1.0030729715746995,0.3578815577321426,2,4.801403516251077,0.1446664438205055,0.2133436680532504,3,82.30318446881459,0.07,645.75,331.5,310.25,2572.8372484735464,2515.804523329808
9.58,5.0,1.4,0.995,50.0,3,4.6,0.15,0.1575,7,70.0,0.05,14.0,10.0,0.0,99.275739499932,611.2925104296536
5.456630190524357,5.301166397923649,2.074670019184268,1.3506808037285989,47.47679845532164,5,8.582972056417676,0.1533696110905011,0.2983234997098993,13,64.91156624720308,0.03,15.4,11.4,0.0,58.39081022110868,789.5732679359334
17.57556313112024,4.997619910774141,0.4188160973399923,0.5242962671881247,55.17280061148641,4,6.660858781537509,0.1995266248822594,0.0750474733659032,14,20.40192483032172,0.09,4.0,0.0,0.0,63.11517398569231,34.780064863370754
7.240563901078373,7.021895693676715,1.1305697161302442,0.6660447206217157,93.366317363956,6,4.236647180289288,0.148298246319669,0.1284589928324357,11,91.3655598128781,0.05,3.8,0.0,0.0,49.96840686969093,200.6504195044551
10.591081509935004,9.981906700647112,2.734192912319151,0.4778645944133034,10.575606065881573,1,4.605276686673827,0.2356012136469842,0.2531045213275772,14,106.18731841545836,0.01,3.75,0.0,0.0,70.7441965119857,1661.494842172307
9.58,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,12.0,8.0,0.0,92.2296757772806,567.9062208551513
9.58,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.01,8.0,4.0,0.0,75.84081351584729,466.9914474639722
0.8131528438866816,4.365730413082879,0.296256507467891,0.2270736904385173,7.337116631510376,1,4.68260194514335,0.1115858993816067,0.0163006013737363,9,59.32465076434293,0.01,3.8,0.0,0.0,5.6837985425731805,1.567199723601555
13.849234807757991,0.0812757147607157,0.0352283456824254,1.935104967585466,49.53688118047611,5,8.266871021263308,0.0970932745941777,0.0362022336905166,11,123.70259386118866,0.09,3.75,0.0,0.0,0.0,0.0
