seed,total_tips,n_apical_events,n_lateral_events,avg_length_um,avg_volume_um3,citric_total_mmol
11,3,0,0,47.72020208841934,293.83817516524505,0.0
12,4,0,0,47.66803614873381,293.51696226479305,0.0
13,6,2,0,52.3874720511033,322.576990778338,0.0
14,4,0,0,42.91757923765364,264.26592122002614,0.0
15,4,0,0,47.65493403735167,293.4362857309384,0.0

mean,4.2,0.4,0.0,47.66964471265235,293.5268670318681,0.0
std,0.9797958971132712,0.8000000000000002,0.0,2.9947552859557667,18.440270363089365,0.0
