param,direction,baseline_value,perturbed_value,seed,total_tips,n_apical_events,n_lateral_events,avg_length_um,avg_volume_um3,citric_total_mmol
PSI_BRANCH,plus5pct,0.97,1.0185,3,55,51,0,219.14833176703985,1349.4105866865502,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,4,58,54,0,233.95291101459824,1440.5701031976403,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,5,63,59,0,248.51912125813598,1530.2618574174558,1.2985468252625204e-13
PSI_BRANCH,plus5pct,0.97,1.0185,6,64,60,0,249.98874699244382,1539.3111096218945,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,7,47,43,0,196.5925828408274,1210.5230754458528,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,8,63,59,0,247.98600617611453,1526.9791897840705,7.113643328884608e-14
PSI_BRANCH,plus5pct,0.97,1.0185,9,64,60,0,251.29677196588017,1547.3653016505236,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,10,61,57,0,243.8127936835902,1501.2825437156387,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,11,48,45,0,253.68648723556768,1562.08002504395,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,12,47,43,0,195.27122318130992,1202.3867747996364,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,13,64,60,0,249.05083748125924,1533.5359115469585,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,14,63,59,0,240.81182445967073,1482.8040108953103,2.0155161334737748e-13
PSI_BRANCH,plus5pct,0.97,1.0185,15,64,60,0,253.60112633865623,1561.5544134773338,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,16,62,58,0,246.11416506110385,1515.453287684685,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,17,64,60,0,253.47249595290788,1560.7623690985388,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,18,61,57,0,230.0362237555764,1416.453016795711,1.6895695867644791e-12
PSI_BRANCH,plus5pct,0.97,1.0185,19,64,60,0,253.4794346185725,1560.805094082251,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,20,58,54,0,229.35164176233368,1412.2376883846387,7.15582927424448e-14
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,1,6,2,0,65.36465380971629,363.2420516692548,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,3,5,1,0,61.65147435253439,342.607307267956,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,4,4,0,0,59.61877508176592,331.31126559243523,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,5,7,3,0,70.91324470914674,394.07647707675045,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,6,5,1,0,61.63229998935189,342.50075220163313,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,7,5,1,0,61.42547545211988,341.35139448517674,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,8,6,2,0,63.557050630792816,353.1969057219137,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,9,4,0,0,59.765961074085915,332.12920217912523,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,10,6,2,0,63.52254717275178,353.0051643730649,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,11,4,1,0,62.33389076100374,346.3996066508423,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,12,5,1,0,61.21074557909799,340.1581055272299,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,13,6,2,0,72.29759277156393,401.7695252474123,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,14,8,4,0,67.92411529684011,377.465396972326,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,15,8,4,0,68.68041733436968,381.6682908573547,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,16,7,3,0,66.01805538756275,366.87311090184573,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,17,4,0,0,59.867747617211286,332.69484661541054,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,18,14,10,0,91.4193496703604,508.03224986398595,5.056331570241965e-13
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,19,4,0,0,59.73906422872924,331.9797320187044,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,20,10,6,0,79.41499735947947,441.32210442270815,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,1,4,0,0,58.71035592589781,398.56508901209565,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,3,4,0,0,58.49648238821314,397.1131726637735,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,4,5,1,0,63.62695552383062,431.9422492333732,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,5,7,3,0,65.81547121974793,446.79935475405165,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,6,8,4,0,67.4364960291926,457.80395330021946,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,7,7,3,0,64.69493902474404,439.1924341861312,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,8,5,1,0,60.217265999592854,408.7950005529752,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,9,5,1,0,60.22881178460772,408.87338104921974,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,10,6,2,0,62.12145634257365,421.72191577222594,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,11,4,1,0,60.853549557149734,413.1145181023949,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,12,10,6,0,74.80377398146383,507.8179541781903,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,13,6,2,0,70.62330046216775,479.4381091908092,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,14,4,0,0,58.49406473048594,397.09675998917726,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,15,8,4,0,67.57596893012965,458.7507884590271,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,16,10,6,0,74.32224354762971,504.54900414039173,8.478829469718087e-14
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,17,5,1,0,60.54725291149903,411.03517199875404,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,18,15,11,0,87.90413929660592,596.751979284609,2.2359283076306308e-13
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,19,7,3,0,70.3943872031243,477.8840931739099,0.0
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,20,12,8,0,79.46703888289062,539.4753093621723,1.6531494389058072e-13
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,1,4,0,0,59.35763274139316,365.49590579148975,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,3,5,1,0,60.70994722154708,373.82281141443127,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,4,6,2,0,67.74878196727241,417.16458840735766,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,5,6,2,0,67.85529973766722,417.8204738794579,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,6,5,1,0,60.899505766467406,374.9900222494391,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,7,4,0,0,58.96664678422316,363.0884013145137,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,8,10,6,0,76.1956501676383,469.1763618122147,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,9,5,1,0,60.915571006972286,375.08894431487374,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,10,7,3,0,65.933954765072,405.98975070766096,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,11,5,2,0,64.28080756778668,395.8104611306845,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,12,5,1,0,60.62682769797874,373.31100115259136,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,13,6,2,0,71.39217920433276,439.59888559571164,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,14,11,7,0,73.89574447909808,455.01464285468273,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,15,6,2,0,62.988242618739605,387.8514645361851,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,16,4,0,0,58.742038575658476,361.7053714185067,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,17,5,1,0,60.99531368684575,375.5799615887191,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,18,17,13,0,96.91760012896893,596.772216314695,4.4506146853485384e-13
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,19,5,1,0,62.83007538987506,386.8775464078757,0.0
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,20,7,3,0,70.91869198765515,436.6833778312049,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,1,4,0,0,59.35763274139316,365.49590579148975,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,3,5,1,0,60.70994722154708,373.82281141443127,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,4,6,2,0,67.74878196727241,417.16458840735766,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,5,6,2,0,67.85529973766722,417.8204738794579,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,6,5,1,0,60.899505766467406,374.9900222494391,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,7,4,0,0,58.96664678422316,363.0884013145137,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,8,10,6,0,76.1956501676383,469.1763618122147,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,9,5,1,0,60.915571006972286,375.08894431487374,0.0
