seed,total_tips,n_apical_events,n_lateral_events,avg_length_um,avg_volume_um3,citric_total_mmol
1,4,0,0,59.35763274139316,365.49590579148975,0.0
3,5,1,0,60.70994722154708,373.82281141443127,0.0
4,6,2,0,67.74878196727241,417.16458840735766,0.0
5,6,2,0,67.85529973766722,417.8204738794579,0.0
6,5,1,0,60.899505766467406,374.9900222494391,0.0
7,4,0,0,58.96664678422316,363.0884013145137,0.0
8,10,6,0,76.1956501676383,469.1763618122147,0.0
9,5,1,0,60.915571006972286,375.08894431487374,0.0
10,7,3,0,65.933954765072,405.98975070766096,0.0
11,5,2,0,64.28080756778668,395.8104611306845,0.0
12,5,1,0,60.62682769797874,373.31100115259136,0.0
13,6,2,0,71.39217920433276,439.59888559571164,0.0
14,11,7,0,73.89574447909808,455.01464285468273,0.0
15,6,2,0,62.988242618739605,387.8514645361851,0.0
16,4,0,0,58.742038575658476,361.7053714185067,0.0
17,5,1,0,60.99531368684575,375.5799615887191,0.0
18,17,13,0,96.91760012896893,596.772216314695,4.4506146853485384e-13
19,5,1,0,62.83007538987506,386.8775464078757,0.0
20,7,3,0,70.91869198765515,436.6833778312049,0.0
