param,direction,baseline_value,perturbed_value,n_seeds_succeeded,total_tips_avg,n_apical_events_avg,n_lateral_events_avg,avg_length_um_avg,avg_volume_um3_avg,citric_total_mmol_avg,total_tips_pct_dev,n_apical_events_pct_dev,n_lateral_events_pct_dev,avg_length_um_pct_dev,avg_volume_um3_pct_dev,citric_total_mmol_pct_dev
MU_MAX,minus5pct,9.99,9.490499999999999,19,5.578947368421052,1.631578947368421,0.0,60.65823035750264,373.5043637069397,6.185740917263833e-15,-13.821138211382122,-35.416666666666664,nan,-8.688535637925163,-8.688535637925185,-73.59261905666209
MU_MAX,plus5pct,9.99,10.489500000000001,19,7.368421052631579,3.4210526315789473,0.0,73.51527029896606,452.6718648718834,3.866985741362234e-15,13.821138211382108,35.41666666666667,nan,10.665724080789195,10.665724080789191,-83.49155469967884
PSI_BRANCH,minus5pct,0.97,0.9215,19,4.421052631578948,0.47368421052631576,0.0,60.50810791045594,372.57998149644936,0.0,-31.707317073170728,-81.24999999999999,nan,-8.914521466932397,-8.914521466932406,-100.0
PSI_BRANCH,plus5pct,0.97,1.0185,19,59.526315789473685,55.578947368421055,0.0,238.9512359805292,1471.3473971443573,1.1387740045628417e-13,819.5121951219512,2100.0,nan,259.70365669942595,259.7036566994258,386.15096152722936
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,19,6.2105263157894735,2.263157894736842,0.0,66.12407675149916,367.46228892869107,2.661227142232613e-14,-4.06504065040651,-10.416666666666664,nan,-0.4605600561703764,-10.165655450693768,13.609735457159475
HYPHA_RADIUS_UM,plus5pct,1.4,1.47,19,6.947368421052632,3.0,0.0,66.64915546008142,452.4589599159737,2.4931372071096035e-14,7.317073170731709,18.750000000000007,nan,0.32986369182580527,10.613674720237924,6.433853038376071
LATERAL_DISTANCE_FROM_TIP,minus5pct,4.6,4.369999999999999,19,6.473684210526316,2.526315789473684,0.0,66.43002692079959,409.0443257222261,2.3424287817623885e-14,0.0,0.0,nan,0.0,0.0,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,19,6.473684210526316,2.526315789473684,0.0,66.43002692079959,409.0443257222261,2.3424287817623885e-14,0.0,0.0,nan,0.0,0.0,0.0
PHI_N,minus5pct,0.15,0.1425,19,6.473684210526316,2.526315789473684,0.0,66.43002692079959,409.0443257222261,2.3424287817623885e-14,0.0,0.0,nan,0.0,0.0,0.0
PHI_N,plus5pct,0.15,0.1575,19,6.473684210526316,2.526315789473684,0.0,66.43002692079959,409.0443257222261,2.3424287817623885e-14,0.0,0.0,nan,0.0,0.0,0.0
PHI_P,minus5pct,0.15,0.1425,19,6.473684210526316,2.526315789473684,0.0,66.43002692079959,409.0443257222261,2.3424287817623885e-14,0.0,0.0,nan,0.0,0.0,0.0
PHI_P,plus5pct,0.15,0.1575,19,6.473684210526316,2.526315789473684,0.0,66.43002692079959,409.0443257222261,2.3424287817623885e-14,0.0,0.0,nan,0.0,0.0,0.0
