metric,metric_display,baseline,seed_mean,seed_min,seed_max,seed_std,pct_deviation_from_baseline
total_tips,Total Tips,6,6.473684210526316,4.0,17.0,3.067116270385993,7.8947368421052655
n_apical_events,Apical Branch Events,2,2.526315789473684,0.0,13.0,3.04990804093693,26.315789473684205
n_lateral_events,Lateral Branch Events,0,0.0,0.0,0.0,0.0,nan
avg_length_um,Avg Length per Hypha (µm),67.74878196727241,66.43002692079959,58.742038575658476,96.91760012896893,8.82747863243344,-1.946536909120921
avg_volume_um3,Avg Volume per Hypha (µm³),417.16458840735766,409.0443257222261,361.7053714185067,596.772216314695,54.35539036189258,-1.9465369091209075
citric_total_mmol,Citric Acid (mmol),0.0,2.3424287817623885e-14,0.0,4.4506146853485384e-13,9.93808365618437e-14,nan
