run_id,sweep_type,varied_param,direction,RNG_SEED,MU_MAX,DEPLETION_RADIUS,HYPHA_RADIUS_UM,PSI_BRANCH,MIN_BRANCH_ANGLE_DEG,APICAL_BRANCH_MIN_STEP,LATERAL_DISTANCE_FROM_TIP,PHI_N,PHI_P,LATERAL_BRANCH_MIN_STEP,MAX_DEVIATION_DEG,nutrient_pm_fraction,total_tips,n_apical_events,n_lateral_events,avg_length_um,avg_volume_um3,citric_total_mmol
27,param_pm5,MU_MAX,minus5pct,27.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,13,9,0,89.86677160986456,553.3565874031092,0.0
28,param_pm5,MU_MAX,minus5pct,28.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,7,3,0,72.05398952360669,443.67399693242936,0.0
29,param_pm5,MU_MAX,minus5pct,29.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,9,5,0,76.51082329724379,471.11704716582653,0.0
30,param_pm5,MU_MAX,minus5pct,30.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,11,7,0,83.20142157321806,512.3145505739923,0.0
31,param_pm5,MU_MAX,plus5pct,1.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,10,6,0,89.45788860618362,550.8388814756473,0.0
32,param_pm5,MU_MAX,plus5pct,2.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,,,,,,
33,param_pm5,MU_MAX,plus5pct,3.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,11,7,0,94.41253344807191,581.3472141150361,0.0
34,param_pm5,MU_MAX,plus5pct,4.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,16,12,0,111.58189343450874,687.0679191074839,0.0
35,param_pm5,MU_MAX,plus5pct,5.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,10,6,0,86.9988853854991,535.6975160272654,0.0
36,param_pm5,MU_MAX,plus5pct,6.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,8,4,0,82.10315250617461,505.5519350699227,0.0
37,param_pm5,MU_MAX,plus5pct,7.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,9,5,0,84.55046997339885,520.6213452389486,0.0
38,param_pm5,MU_MAX,plus5pct,8.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,11,7,0,94.35939080860672,581.0199871645931,0.0
39,param_pm5,MU_MAX,plus5pct,9.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,11,7,0,94.39631996996876,581.247379273388,0.0
40,param_pm5,MU_MAX,plus5pct,10.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,18,14,0,126.34064237032858,777.9452344840616,0.0
41,param_pm5,MU_MAX,plus5pct,11.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,3,0,0,69.92052962241053,430.53717150586994,0.0
42,param_pm5,MU_MAX,plus5pct,12.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,16,12,0,116.48679568393878,717.2699606593194,0.0
43,param_pm5,MU_MAX,plus5pct,13.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,4,0,0,69.78136291034347,429.6802494701719,0.0
44,param_pm5,MU_MAX,plus5pct,14.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,10,6,0,87.0154448109079,535.7994810469207,0.0
45,param_pm5,MU_MAX,plus5pct,15.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,8,4,0,82.08485744519236,505.43928283673216,0.0
46,param_pm5,MU_MAX,plus5pct,16.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,7,3,0,77.19187006095436,475.31060732469007,0.0
47,param_pm5,MU_MAX,plus5pct,17.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,10,6,0,89.47402910485658,550.9382669448776,0.0
48,param_pm5,MU_MAX,plus5pct,18.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,9,5,0,84.55746571018628,520.6644216393323,0.0
49,param_pm5,MU_MAX,plus5pct,19.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,6,2,0,74.7084328094368,460.01878880365325,0.0
50,param_pm5,MU_MAX,plus5pct,20.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,18,14,0,118.91434233261181,732.2176315860461,0.0
51,param_pm5,MU_MAX,plus5pct,21.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,11,7,0,94.37976217535292,581.1454242953754,0.0
52,param_pm5,MU_MAX,plus5pct,22.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,13,9,0,99.29865144690136,611.4335912380392,0.0
53,param_pm5,MU_MAX,plus5pct,23.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,4,1,0,73.23928616095475,450.97248658053536,0.0
54,param_pm5,MU_MAX,plus5pct,24.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,9,5,0,87.02367990033231,535.850188787938,0.0
55,param_pm5,MU_MAX,plus5pct,25.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,12,8,0,101.78303707100375,626.7312493837529,0.0
56,param_pm5,MU_MAX,plus5pct,26.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,12,8,0,94.38114606494395,581.1539456254256,0.0
57,param_pm5,MU_MAX,plus5pct,27.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,7,3,0,77.14717111839144,475.03537262031546,0.0
58,param_pm5,MU_MAX,plus5pct,28.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,9,5,0,84.52922447982202,520.4905256533247,0.0
59,param_pm5,MU_MAX,plus5pct,29.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,11,7,0,91.92340051865146,566.0203243342796,0.0
60,param_pm5,MU_MAX,plus5pct,30.0,10.059000000000001,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,8,4,0,82.06914162340206,505.34251232458035,0.0
61,param_pm5,DEPLETION_RADIUS,minus5pct,1.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,5,1,0,68.87166892114047,424.07878908132176,0.0
62,param_pm5,DEPLETION_RADIUS,minus5pct,2.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,,,,,,
63,param_pm5,DEPLETION_RADIUS,minus5pct,3.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,5,1,0,68.87832853793216,424.11979581557125,0.0
64,param_pm5,DEPLETION_RADIUS,minus5pct,4.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,6,2,0,71.24273764150999,438.6786959445379,0.0
65,param_pm5,DEPLETION_RADIUS,minus5pct,5.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,6,2,0,71.21413522541206,438.5025759495731,0.0
66,param_pm5,DEPLETION_RADIUS,minus5pct,6.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,4,0,0,66.54633834450925,409.76051582616554,0.0
67,param_pm5,DEPLETION_RADIUS,minus5pct,7.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,5,1,0,68.89074319618015,424.1962393419027,0.0
68,param_pm5,DEPLETION_RADIUS,minus5pct,8.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,8,4,0,80.6350505451421,496.51206553234164,0.0
69,param_pm5,DEPLETION_RADIUS,minus5pct,9.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,8,4,0,78.27256707140299,481.9650225107025,0.0
70,param_pm5,DEPLETION_RADIUS,minus5pct,10.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,11,7,0,90.04144951264084,554.4321703626779,0.0
71,param_pm5,DEPLETION_RADIUS,minus5pct,11.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,3,0,0,66.64815489325213,410.38745342439273,0.0
72,param_pm5,DEPLETION_RADIUS,minus5pct,12.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,4,0,0,66.53921722274347,409.71666736506916,0.0
73,param_pm5,DEPLETION_RADIUS,minus5pct,13.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,8,4,0,80.62856404708864,496.4721247804625,0.0
74,param_pm5,DEPLETION_RADIUS,minus5pct,14.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,5,1,0,59.42117091467146,365.88714346594116,0.0
75,param_pm5,DEPLETION_RADIUS,minus5pct,15.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,6,2,0,71.21979246914401,438.53741055005486,0.0
76,param_pm5,DEPLETION_RADIUS,minus5pct,16.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,6,2,0,71.23442562211375,438.62751450555726,0.0
77,param_pm5,DEPLETION_RADIUS,minus5pct,17.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,6,2,0,71.22633589513438,438.5777018369353,0.0
78,param_pm5,DEPLETION_RADIUS,minus5pct,18.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,9,5,0,82.9723206487035,510.90385668247666,0.0
79,param_pm5,DEPLETION_RADIUS,minus5pct,19.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,5,1,0,71.2334761238855,438.62166794970665,0.0
80,param_pm5,DEPLETION_RADIUS,minus5pct,20.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,5,1,0,68.86864893648533,424.0601934605729,0.0
81,param_pm5,DEPLETION_RADIUS,minus5pct,21.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,10,6,0,87.66733496680715,539.8135087633731,0.0
82,param_pm5,DEPLETION_RADIUS,minus5pct,22.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,5,1,0,68.89574303593764,424.2270259632112,0.0
83,param_pm5,DEPLETION_RADIUS,minus5pct,23.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,3,0,0,66.65919153981685,410.45541181401796,0.0
84,param_pm5,DEPLETION_RADIUS,minus5pct,24.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,6,2,0,71.23598707624927,438.6371291931258,0.0
85,param_pm5,DEPLETION_RADIUS,minus5pct,25.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,11,7,0,90.00955730765568,554.235793421577,0.0
86,param_pm5,DEPLETION_RADIUS,minus5pct,26.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,8,4,0,78.28141271310788,482.01948974057547,0.0
87,param_pm5,DEPLETION_RADIUS,minus5pct,27.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,8,4,0,75.92112103931152,467.4859427744289,0.0
88,param_pm5,DEPLETION_RADIUS,minus5pct,28.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,4,0,0,66.52567415806142,409.63327565174524,0.0
89,param_pm5,DEPLETION_RADIUS,minus5pct,29.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,6,2,0,73.58531798887815,453.1031850356197,0.0
90,param_pm5,DEPLETION_RADIUS,minus5pct,30.0,9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,7,3,0,75.93714461187805,467.58460826863313,0.0
91,param_pm5,DEPLETION_RADIUS,plus5pct,1.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,16,12,0,108.4608932887992,667.8502932934409,0.0
92,param_pm5,DEPLETION_RADIUS,plus5pct,2.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,,,,,,
93,param_pm5,DEPLETION_RADIUS,plus5pct,3.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,17,13,0,110.81921470223007,682.3717083388273,0.0
94,param_pm5,DEPLETION_RADIUS,plus5pct,4.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,11,7,0,89.80349932601848,552.9669869485801,0.0
95,param_pm5,DEPLETION_RADIUS,plus5pct,5.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,21,17,0,127.16407866016299,783.0155612257938,0.0
96,param_pm5,DEPLETION_RADIUS,plus5pct,6.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,13,9,0,96.79153489515232,595.9959669143295,0.0
97,param_pm5,DEPLETION_RADIUS,plus5pct,7.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,18,14,0,115.49721749831332,711.1766116054166,0.0
98,param_pm5,DEPLETION_RADIUS,plus5pct,8.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,6,2,0,71.0714503643913,437.6239908356968,0.0
99,param_pm5,DEPLETION_RADIUS,plus5pct,9.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,10,6,0,82.76017515049126,509.5975661946722,0.0
100,param_pm5,DEPLETION_RADIUS,plus5pct,10.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,18,14,0,115.48576372630677,711.106084756873,0.0
101,param_pm5,DEPLETION_RADIUS,plus5pct,11.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,4,1,0,69.6879894600009,429.1053004327243,0.0
102,param_pm5,DEPLETION_RADIUS,plus5pct,12.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,12,8,0,89.80982139988426,553.0059152549719,0.0
103,param_pm5,DEPLETION_RADIUS,plus5pct,13.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,18,14,0,113.16534095632818,696.818031427194,0.0
104,param_pm5,DEPLETION_RADIUS,plus5pct,14.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,7,3,0,66.35578083114825,408.5871538214055,0.0
105,param_pm5,DEPLETION_RADIUS,plus5pct,15.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,16,12,0,103.84910310259141,639.4530956024207,0.0
106,param_pm5,DEPLETION_RADIUS,plus5pct,16.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,11,7,0,87.50044198194821,538.7858616040428,0.0
107,param_pm5,DEPLETION_RADIUS,plus5pct,17.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,20,16,0,120.1477131649593,739.8121391283136,0.0
108,param_pm5,DEPLETION_RADIUS,plus5pct,18.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,14,10,0,99.12917504109262,610.3900366084059,0.0
109,param_pm5,DEPLETION_RADIUS,plus5pct,19.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,18,14,0,115.49749342185638,711.1783106105933,0.0
110,param_pm5,DEPLETION_RADIUS,plus5pct,20.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,9,5,0,80.41562867006542,495.16097059681715,0.0
111,param_pm5,DEPLETION_RADIUS,plus5pct,21.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,13,9,0,94.46029922519992,581.641332919492,0.0
